Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max
Oilfield;W2;Carbonate;01.01.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.02.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.03.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.04.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.05.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.06.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.07.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.08.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.09.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.10.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.11.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.12.2017;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.01.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.02.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.03.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.04.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.05.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.06.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
Oilfield;W2;Carbonate;01.07.2018;0;0;0;0;;;;;;;0.595448496;1;;;;;
